zipcode,center_lat,center_long
98002,47.30877989949747,-122.21335678391958
98155,47.75486322869954,-122.30354035874457
98198,47.39078785714286,-122.31574285714284
98146,47.502055208333346,-122.35830555555552
98122,47.610160344827584,-122.29977241379305
98077,47.7459217171717,-122.06120202020202
98006,47.558021686747,-122.14683935742978
98001,47.30910554016618,-122.27070360110805
98005,47.61153154761904,-122.16726785714283
98112,47.629618587360596,-122.29786617100362
98115,47.68548421955406,-122.30178902229848
98059,47.49273611111112,-122.13904700854694
98075,47.58749080779937,-122.02252367688025
98023,47.3086224448898,-122.36428256513025
98109,47.63560183486239,-122.35009174311921
98136,47.53880684410643,-122.38820532319372
98052,47.68053780487807,-122.11927700348434
98011,47.75519230769231,-122.20117435897437
98014,47.671487903225795,-121.84853225806457
98058,47.44608483516482,-122.14614285714286
98177,47.74238078431373,-122.36928235294121
98117,47.68688915009041,-122.37858951175402
98116,47.573905454545454,-122.39362121212116
98019,47.737095789473706,-121.95483157894733
98042,47.365698903107855,-122.11538756855565
98199,47.64809810725548,-122.39846056782322
98103,47.6760043261232,-122.34415141430964
98102,47.634591346153876,-122.32224999999988
98039,47.62583999999998,-122.23353999999996
98148,47.43743684210527,-122.32931578947371
98056,47.50965714285714,-122.18277832512318
98031,47.40376483516485,-122.18930402930405
98092,47.30183646723642,-122.16799715099718
98045,47.47309454545455,-121.75908181818193
98118,47.54383925049309,-122.27559566074945
98024,47.55876375,-121.90547500000005
98107,47.669789849624046,-122.37557142857145
98125,47.717030073349584,-122.30123471882645
98028,47.75513780918729,-122.24602826855123
98010,47.333210000000015,-121.99947000000002
98188,47.44730955882352,-122.28099264705885
98053,47.68003151364763,-122.02287096774192
98007,47.61052198581556,-122.14207801418442
98029,47.55955700934583,-122.00565732087213
98032,47.37355600000002,-122.27884800000005
98004,47.61618328075706,-122.20518927444785
98106,47.536196417910425,-122.35680895522395
98178,47.49911755725191,-122.24696946564875
98168,47.48969999999997,-122.30787732342003
98074,47.624084353741495,-122.04478458049887
98003,47.3157410714286,-122.31005357142861
98119,47.64003423913043,-122.3669184782608
98027,47.52168713592237,-122.04284708737859
98166,47.45521181102362,-122.35030314960636
98144,47.58629329446063,-122.29841107871736
98022,47.211225751072924,-121.99554935622308
98034,47.720687889908326,-122.20737431192656
98055,47.45866604477614,-122.20276119402975
98033,47.68008819444443,-122.1876597222223
98038,47.37064023769109,-122.03175382003377
98040,47.559846099290766,-122.22559219858152
98070,47.4174205128205,-122.46358974358968
98008,47.61331166077741,-122.11583392226142
98105,47.665066812227046,-122.29434061135376
98108,47.54976935483872,-122.30687096774179
98133,47.73565476673427,-122.34379716024345
98126,47.544584180790956,-122.37527401129945
98065,47.53176525974022,-121.86215584415581
98072,47.751016483516494,-122.13197435897436
98030,47.36902656249999,-122.19041796875001
